Alpha, X_Acc, Y_Acc, Z_Acc, X_Gyro, Y_Gyro, Z_Gyro
M,0.28,0.43,1.77,-17.15,-78.31,27.77
M,0.25,0.38,1.91,-15.32,-32.96,-12.82
M,0.26,0.25,1.65,-15.38,8.91,-25.15
M,0.26,0.45,1.75,-15.62,30.70,-23.19
M,0.21,0.46,1.60,-13.85,53.53,-34.91
M,0.14,0.39,1.51,-7.20,87.83,-60.00
M,0.08,0.41,1.13,-0.43,132.39,-80.38
M,0.06,0.31,1.17,10.19,121.83,-96.13
M,0.06,0.13,1.09,3.54,144.04,-101.38
M,-0.02,0.08,0.78,-3.48,161.93,-88.44
M,-0.03,0.06,0.43,-7.26,162.72,-78.55
M,-0.01,-0.03,0.49,-5.19,93.38,-69.64
M,-0.02,-0.14,0.62,-3.85,64.70,-51.15
M,-0.03,0.08,0.60,-15.81,66.28,-26.25
M,0.01,0.22,0.32,-6.77,69.21,-33.75
M,0.04,0.08,0.13,7.81,45.04,-43.58
M,0.08,-0.08,0.04,17.94,-30.33,-27.95
M,0.03,-0.25,-0.01,32.04,-84.78,4.94
M,-0.00,-0.12,0.08,16.17,-113.46,43.76
M,-0.26,0.03,-0.12,-24.17,-119.08,46.57
M,-0.10,-0.19,0.39,29.17,-244.81,24.05
M,0.14,0.14,1.17,-6.29,-297.00,58.84
M,0.50,0.51,2.33,4.70,-272.28,38.51
M,0.50,0.44,2.64,0.85,-181.34,5.19
M,0.28,0.04,1.95,-31.31,-24.48,-42.30
M,0.15,-0.17,1.53,-23.56,-5.68,-30.03
M,0.12,-0.19,1.48,-15.75,-9.70,-7.14
M,0.17,-0.01,1.37,-4.21,6.04,20.26
M,0.15,0.20,1.24,-1.95,34.30,12.21
M,0.19,0.08,1.16,3.97,46.39,-13.55
M,0.17,-0.11,1.30,34.36,56.70,-34.67
M,0.13,-0.09,1.34,39.49,79.53,-22.09
M,0.07,-0.10,1.37,52.06,114.07,-11.29
M,-0.08,-0.15,1.16,45.96,136.23,13.43
M,-0.16,0.12,1.08,38.51,131.84,49.07
M,-0.19,0.28,1.03,52.43,121.09,44.07
M,-0.23,0.35,0.92,36.32,122.31,35.40
M,-0.24,0.44,0.79,10.07,119.02,33.51
M,-0.28,0.46,0.73,3.11,90.88,15.75
M,-0.32,0.42,0.65,-2.08,78.06,4.88
M,-0.31,0.30,0.65,13.73,54.99,-20.51
M,-0.29,0.25,0.63,-1.95,53.71,-17.09
M,-0.27,0.31,0.65,-9.03,47.12,-10.13
M,-0.30,0.31,0.51,-3.72,45.23,-10.62
M,-0.31,0.23,0.50,9.22,22.09,-16.66
M,-0.27,0.16,0.54,5.98,11.66,-14.77
M,-0.25,0.21,0.55,-8.42,9.03,5.92
M,-0.24,0.32,0.39,-7.39,5.25,15.14
M,-0.17,0.21,0.29,1.46,-25.39,-1.04
M,-0.08,-0.05,0.20,-13.85,-65.67,8.48
M,-0.09,-0.07,0.29,-18.07,-106.32,37.84
M,-0.01,0.16,0.20,-25.94,-121.89,68.30
M,0.16,0.15,0.47,-31.92,-184.94,60.91
M,0.25,-0.08,0.62,-21.18,-192.69,52.86
M,0.24,0.16,0.57,-62.38,-204.59,84.66
M,0.24,0.33,1.43,-45.72,-263.24,68.54
M,0.34,-0.14,1.30,-27.77,-142.15,28.32
M,0.26,0.21,1.50,-20.87,-127.75,59.75
M,0.29,0.48,1.70,-21.91,-120.54,61.65
M,0.33,0.37,2.18,-23.44,-70.92,-1.46
M,0.23,0.26,1.88,-10.31,11.17,-13.31
M,0.24,0.39,1.93,0.49,12.82,-4.15
M,0.26,0.44,1.84,15.69,46.08,-16.85
M,0.27,0.37,1.75,29.60,80.32,-32.84
M,0.23,0.29,1.50,30.09,132.45,-51.33
M,0.16,0.01,1.03,36.56,163.76,-53.83
M,0.10,0.00,0.87,34.67,147.28,-34.85
M,-0.02,0.20,0.84,24.72,115.42,-15.62
M,-0.03,0.39,0.79,18.25,121.34,-34.85
M,-0.08,0.24,0.49,14.10,131.59,-59.39
M,-0.12,-0.00,0.39,15.81,79.59,-65.06
M,-0.16,0.07,0.59,2.38,38.33,-32.59
M,-0.10,0.26,0.56,-5.00,39.55,-17.58
M,-0.05,0.20,0.48,5.37,22.40,-30.09
M,-0.00,0.21,0.56,17.15,6.16,-36.44
M,-0.04,-0.11,0.31,17.09,7.75,-43.88
M,-0.10,-0.08,-0.07,4.15,-34.48,8.06
M,-0.05,0.10,0.13,-1.10,-90.27,25.09
M,0.05,-0.08,0.12,0.92,-124.57,25.15
M,0.04,0.22,0.39,4.82,-164.00,56.27
M,0.20,0.51,1.02,6.47,-185.79,29.60
M,0.15,0.15,1.30,5.19,-140.26,6.23
M,0.14,0.36,1.26,-7.45,-115.05,26.12
M,0.19,0.26,1.60,-9.03,-116.46,-4.52
M,0.22,0.02,1.70,-6.59,-69.03,-8.30
M,0.19,0.08,1.54,-15.99,-42.24,5.00
M,0.16,0.10,1.50,-8.97,-33.33,1.53
M,0.14,0.03,1.45,-9.34,-20.14,-4.46
M,0.15,0.04,1.46,-7.26,-7.69,10.01
M,0.14,0.49,1.42,-9.64,24.35,28.02
M,0.14,0.63,1.32,3.91,38.33,5.43
M,0.12,0.54,1.30,16.24,47.85,-37.84
M,0.13,0.51,1.28,7.20,68.36,-45.65
M,0.15,0.52,1.20,1.59,88.62,-51.39
M,0.18,0.19,1.03,5.07,108.89,-86.91
M,0.12,0.05,0.86,2.32,118.41,-85.82
M,0.14,0.27,0.86,-18.62,97.66,-66.53
M,0.09,-0.05,0.72,-17.58,90.88,-84.41
M,0.02,-0.18,0.72,-15.01,76.60,-67.57
M,-0.02,0.09,0.66,-23.68,73.61,-28.32
M,0.00,0.25,0.54,-19.17,73.91,-37.66
M,0.02,0.07,0.27,-5.92,73.91,-52.37
M,0.02,0.08,0.00,0.06,15.44,-38.15
M,0.03,0.06,-0.19,7.81,-31.56,-31.01
M,0.15,-0.20,-0.20,15.87,-125.67,-27.89
