Alpha, X_Acc, Y_Acc, Z_Acc, X_Gyro, Y_Gyro, Z_Gyro
C,-0.23,-0.25,1.01,7.75,19.04,51.51
C,-0.20,-0.30,0.81,19.78,38.64,51.82
C,-0.25,-0.14,0.84,20.45,18.31,66.77
C,-0.25,-0.22,0.84,16.97,19.71,67.99
C,-0.25,-0.11,0.75,19.90,21.36,86.00
C,-0.29,0.09,0.72,18.55,15.93,88.26
C,-0.30,0.01,0.68,15.20,11.84,75.56
C,-0.27,-0.12,0.63,14.22,-0.12,82.89
C,-0.25,-0.01,0.71,17.64,-9.52,100.46
C,-0.22,0.24,0.64,13.67,-13.67,96.92
C,-0.24,0.11,0.64,19.10,-22.22,85.21
C,-0.21,0.15,0.61,17.09,-30.88,85.94
C,-0.21,0.29,0.72,2.38,-46.88,91.06
C,-0.17,0.19,0.74,9.77,-47.91,83.68
C,-0.14,0.42,0.79,12.02,-52.73,90.76
C,-0.18,0.58,0.80,-2.14,-56.64,77.58
C,-0.14,0.50,0.90,-4.76,-63.05,59.51
C,-0.12,0.49,0.89,0.37,-60.61,49.50
C,-0.09,0.62,0.93,1.65,-59.63,41.44
C,-0.05,0.67,0.88,-8.97,-59.63,28.63
C,-0.07,0.52,0.89,-22.22,-55.60,-6.65
C,-0.09,0.70,1.02,-16.97,-54.57,-6.29
C,-0.08,1.11,1.05,-30.21,-50.84,-25.82
C,-0.06,0.70,0.87,-43.88,-37.90,-111.33
C,-0.12,0.60,0.88,-47.24,-45.17,-118.84
C,-0.04,0.34,0.92,-61.52,-49.93,-145.94
C,0.10,-0.50,0.80,-88.20,-48.16,-154.79
C,0.11,-0.93,1.15,-88.26,-58.41,-125.43
C,0.17,-0.89,1.35,-35.16,-37.35,-67.99
C,0.24,-0.66,1.34,-7.57,-5.98,-37.48
C,0.14,-0.59,1.21,-4.15,-0.67,-15.62
C,0.03,-0.13,1.08,-3.85,-1.71,16.91
C,0.00,0.03,0.98,-7.26,5.74,13.31
C,-0.02,0.03,0.90,1.34,4.15,1.65
C,0.01,0.09,0.94,-0.06,-2.50,1.40
C,0.02,0.05,0.92,-1.04,-5.31,-2.81
C,0.05,-0.07,0.98,0.24,-4.70,-6.65
C,0.06,0.00,0.98,0.24,-2.56,0.43
C,0.05,0.02,1.01,-0.85,-6.90,-4.03
C,0.05,-0.02,0.98,0.06,-4.94,-6.41
