Alpha, X_Acc, Y_Acc, Z_Acc, X_Gyro, Y_Gyro, Z_Gyro
A,-0.06,0.13,0.8,9.7,38.88,-17.52
A,-0.08,0.16,0.77,23.74,46.75,-24.05
A,-0.1,0.05,0.46,24.41,38.57,-28.81
A,-0.15,0.03,0.41,18.07,13,-14.71
A,-0.17,0.15,0.49,14.04,-8.48,-6.47
A,-0.17,0.16,0.52,6.59,-6.23,-10.01
A,-0.19,0.04,0.42,-1.1,-16.3,-11.17
A,-0.19,0.11,0.63,6.9,-38.76,-1.53
A,-0.19,0.3,0.7,1.4,-38.33,7.93
A,-0.23,0.36,0.62,-0.49,-47.24,0.55
A,-0.13,0.16,0.91,0.73,-70.5,-24.41
A,-0.06,0.14,0.76,-8.61,-51.82,-8.48
A,-0.09,0.16,0.73,-3.54,-64.45,-8.3
A,-0.08,0.27,0.85,-2.75,-83.92,-9.03
A,-0.03,0.01,0.88,-0.79,-78.61,-24.05
A,0.04,0.07,0.62,-9.52,-79.41,-12.08
A,0.06,0.14,1.03,-11.6,-132.2,-4.39
A,0.07,0.12,1.45,-1.4,-124.27,-13.31
A,0.15,0.03,1.23,11.72,-59.63,-20.63
A,0.18,0.05,1.23,1.34,-73,-2.87
A,0.18,0.08,1.44,-4.58,-81.97,-0.79
A,0.21,0.06,1.54,1.46,-44.19,-9.58
A,0.18,0.1,1.32,-4.94,-18.07,-4.39
A,0.15,0.07,1.34,-13.24,-13.92,-5.13
A,0.18,0.01,1.3,-4.46,3.48,-9.83
A,0.18,0.04,1.15,-7.2,17.09,-7.57
A,0.18,-0.09,1.24,-1.71,16.66,-9.22
A,0.21,-0.25,1.16,7.51,30.52,-1.89
A,0.19,-0.22,1.13,13.18,48.4,21.36
A,0.15,-0.24,1.19,12.76,51.57,41.63
A,0.11,-0.34,1.08,-3.54,61.16,84.17
A,0.16,-0.32,1.13,21.18,63.84,103.94
A,0.16,-0.1,0.84,10.56,86.85,123.72
A,0.08,0.01,0.79,3.36,66.16,127.81
A,-0.01,0.37,0.83,-7.2,63.11,104.31
A,-0.05,0.35,0.47,6.29,51.39,75.38
A,-0.1,0.54,0.79,8.48,5.92,65.25
A,-0.05,0.35,0.79,-10.01,-2.14,34.79
A,0.02,0.32,0.79,-9.77,-7.69,25.63
A,0.04,0.38,0.88,-18.74,-19.29,24.11
A,0.05,0.35,0.96,-29.36,-15.93,6.96
A,0.08,0.22,0.83,-28.69,-9.03,-6.96
A,0.04,0.46,0.99,-12.02,-27.47,-2.26
A,0.03,0.33,1.08,-19.23,-8.18,-32.96
A,0.08,0.35,0.96,-19.41,5.37,-39.12
A,0.02,0.4,0.79,-18.49,-2.69,-45.65
A,0,0.36,0.75,-24.17,-6.35,-59.88
A,-0.01,0.43,0.86,-18.43,-29.91,-63.05
A,0.05,0.35,0.81,-40.95,-21.91,-91.49
A,0.06,0.19,0.98,-17.88,-33.87,-100.22
A,0.06,0.09,0.81,-36.8,-24.35,-97.53
A,0.1,-0.14,1.07,-22.16,-38.39,-104.13
A,0.15,-0.38,1.03,-26.37,-18.62,-102.54
A,0.18,-0.57,0.79,-22.71,-19.35,-69.21
A,0.22,-0.47,1.1,-9.16,-26.55,-42.48
A,0.24,-0.5,1.21,2.69,-10.44,-40.71
A,0.19,-0.57,0.85,2.32,9.89,-14.95
A,0.12,-0.38,0.87,1.95,-4.82,3.78
A,0.09,-0.32,1.1,10.31,-18.98,5.07
A,0.1,-0.18,1.1,13.24,1.83,13.67
A,0.12,-0.2,1.07,10.56,10.8,13
A,0.13,-0.17,0.94,9.64,11.66,21.06
A,0.15,-0.33,0.94,9.52,11.66,26.43
A,0.17,-0.44,0.81,14.28,19.29,41.63
A,0.2,-0.47,0.63,17.52,13.55,80.81
A,0.18,-0.34,0.29,16.85,9.46,98.94
A,0.16,-0.26,0.52,47.06,-69.58,101.87
A,0.17,-0.24,0.24,16.91,-81.91,133.67
A,0.1,0.38,0.87,22.09,-147.95,162.84
A,-0.01,1.06,1.33,6.04,-123.54,106.63
A,0.17,0.65,1.5,13.18,-90.82,19.53
A,0.3,0.41,1.76,-3.23,-85.39,-9.46
A,0.4,0.33,2.05,22.03,-13.92,-41.38
A,0.42,0.16,1.68,19.71,33.14,-61.95
A,0.46,-0.01,1.59,2.99,40.28,-62.07
A,0.42,0.15,1.73,1.89,72.27,-44.68
A,0.39,0.17,1.52,1.53,113.16,-53.83
A,0.33,-0.03,1.01,-3.6,139.47,-61.22
A,0.22,0.14,1.11,6.71,123.6,-44.43
A,0.19,0.13,0.97,10.56,140.5,-52.67
A,0.1,-0.01,0.66,20.45,143.8,-58.23
A,-0.01,0.02,0.56,38.45,131.35,-54.81
A,-0.1,0.02,0.45,34.97,107.24,-54.32
A,-0.15,-0.12,0.34,14.22,55.3,-49.38
A,-0.2,0.04,0.75,18.62,32.47,-34.73
A,-0.15,0.14,0.59,21.18,58.35,-46.63
A,-0.16,-0.11,0.57,7.93,24.54,-41.38
A,-0.17,0.04,0.78,7.32,8.79,-24.84
A,-0.18,0.11,0.71,16.36,20.32,-22.83
A,-0.22,0.04,0.61,21.24,18.31,-22.71
A,-0.22,-0.04,0.44,8.48,-1.71,-11.96
A,-0.21,0.11,0.52,6.29,-28.2,3.17
A,-0.19,0.18,0.51,7.69,-34.55,2.14
A,-0.23,0.07,0.33,16.24,-57.56,2.32
